Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Ireland,2004,179230.1339695357,77001.39933932832,28974.353092310517,6315.8377683978715,48303.01431455313,50368.98972288493,61152.96384657735,68124.65590016518,267191.39163527713,58818.158354977975,0.24501292850377573
Ireland,2005,189518.2666948577,81286.18007411281,30431.100675472662,6703.203765732281,56531.27538586514,49387.623382259655,65558.46121318007,73623.18195475334,287031.1605346534,62076.041852819464,0.234179009622634
Ireland,2006,198969.4093848521,85630.58846315245,32286.2799530865,7561.681569235074,61654.02369346977,47062.63382721628,72301.55912069466,78381.16143193777,311534.68179923214,65358.59917427614,0.21982575178378097
Ireland,2007,209536.84210526315,92922.48803827752,35300.69112174376,9788.410419989368,60151.940457203615,50180.861244019135,75240.93567251462,84828.92078681554,336391.35549614736,68957.25892928842,0.22523533105596302
Ireland,2008,200139.99316063948,94910.44712319398,37330.93955715141,10555.163717192443,49719.05189364795,85086.9881166111,69101.79960673678,87437.69770026502,358828.8878647025,74804.53979477323,0.3978265350298746
Ireland,2009,189942.2956256723,87791.32305485837,38065.61491574041,7179.656686984582,40197.76353531731,117317.36285406955,62683.0853352456,83359.73915381856,371807.18819235044,81631.32617597164,0.5512379412658233
Ireland,2010,193137.4496241296,88874.23642305337,36079.51592974515,6572.824166560815,33975.56553770829,166545.34117022136,63353.7338768346,80422.06030092726,379853.95029129216,85339.78827373839,0.7467562623441677
Ireland,2011,196246.03246576586,86728.59798675978,37192.57277591367,4834.043710891448,32508.275142831233,215067.22136573866,65513.739004262265,80975.78670535958,385880.167155219,89222.57372265795,0.9667645129747852
Ireland,2012,195449.5557006429,85090.02179999335,35385.92627839809,3986.1896488762486,38118.8929587128,232411.16779355294,66177.25497139442,79878.93810793762,386123.7271968729,89864.07064259391,1.074563711578236
Ireland,2013,199736.39093639093,85445.91864591865,33661.15206115206,3973.136773136773,36502.9757029757,235040.67704067702,67043.40704340705,79975.64837564836,395453.4744937854,90336.79029238663,1.0776128425618041
